status	path	recovered_size	current_size
CHANGED	api/app/Http/Controllers/Api/App/CustomerCardsController.php	34060	28177
CHANGED	api/app/Http/Controllers/Api/App/CustomerFavoritesController.php	2909	2827
CHANGED	api/app/Services/Auth/OtpService.php	31037	7603
CHANGED	api/app/Services/Messaging/SmsService.php	4922	4087
CHANGED	api/database/migrations/2026_04_12_085614_create_banners_table.php	645	735
CHANGED	api/routes/web.php	1194	1193
CHANGED	mobile/app.json	1584	1062
CHANGED	mobile/app/(auth)/_layout.tsx	1028	1303
CHANGED	mobile/app/(auth)/login.tsx	3463	3822
CHANGED	mobile/app/(auth)/verify.tsx	7672	6432
CHANGED	mobile/app/(tabs)/_layout.tsx	3134	3409
CHANGED	mobile/app/(tabs)/cards.tsx	15640	14534
CHANGED	mobile/app/(tabs)/loyalty-stores.tsx	14540	16501
CHANGED	mobile/app/(tabs)/offers.tsx	1479	1481
CHANGED	mobile/app/(tabs)/settings.tsx	7678	9380
CHANGED	mobile/app/_layout.tsx	3714	2894
CHANGED	mobile/app/card/[serial].tsx	5657	4401
CHANGED	mobile/app/favorites.tsx	5898	5787
CHANGED	mobile/app/index.tsx	679	732
CHANGED	mobile/app/merchant-dashboard.tsx	2210	1832
CHANGED	mobile/app/store-detail/[id].tsx	14839	10889
CHANGED	mobile/app/stores/[id].tsx	1113	1456
CHANGED	mobile/business/components/MerchantSideDrawer.tsx	7997	7976
CHANGED	mobile/business/lib/merchant-auth.tsx	8812	8485
CHANGED	mobile/business/screens/MerchantCardEditorScreen.tsx	42109	42104
CHANGED	mobile/business/screens/MerchantCustomerDetailScreen.tsx	9437	9413
CHANGED	mobile/business/screens/MerchantDashboardScreen.tsx	14042	14039
CHANGED	mobile/business/screens/MerchantLocationsScreen.tsx	12202	12132
CHANGED	mobile/business/screens/MerchantLoginSheet.tsx	3738	3625
CHANGED	mobile/business/screens/MerchantScannerScreen.tsx	11499	11189
CHANGED	mobile/business/screens/MerchantSignupSheet.tsx	6397	6300
CHANGED	mobile/business/screens/MerchantWebScreen.tsx	2339	2338
CHANGED	mobile/components/Avatar.tsx	3767	3764
CHANGED	mobile/components/BottomSheet.tsx	7799	7829
CHANGED	mobile/components/ConfirmSheet.tsx	2857	2902
CHANGED	mobile/components/EmptyState.tsx	1434	862
CHANGED	mobile/components/ProfileEditSheet.tsx	15375	11107
CHANGED	mobile/components/auth/AuthScreen.tsx	1889	1740
CHANGED	mobile/components/auth/PhoneInput.tsx	2335	2167
CHANGED	mobile/components/cards/RewardLadder.tsx	2346	1978
CHANGED	mobile/components/cart/CartBottomBar.tsx	2008	2008
CHANGED	mobile/components/cart/CartHeader.tsx	1071	1067
CHANGED	mobile/components/cart/CartScreen.tsx	10620	10342
CHANGED	mobile/components/cart/CartSummary.tsx	8941	8938
CHANGED	mobile/components/checkout/BranchInfoBlock.tsx	5448	5447
CHANGED	mobile/components/checkout/CheckoutBottomBar.tsx	2241	2241
CHANGED	mobile/components/checkout/CheckoutScreen.tsx	13294	13251
CHANGED	mobile/components/offers/OfferCard.tsx	6467	8854
CHANGED	mobile/components/stores/BranchMapBlock.tsx	8979	6776
CHANGED	mobile/components/stores/StoreCard.tsx	5272	5993
CHANGED	mobile/components/stores/StoresScreen.tsx	3972	6641
CHANGED	mobile/components/stores/data.ts	62160	15903
CHANGED	mobile/components/stores/detail/CompactHeader.tsx	1417	1409
CHANGED	mobile/components/stores/detail/StoreDetailScreen.tsx	15108	16115
CHANGED	mobile/components/stores/detail/StoreHero.tsx	2892	2880
CHANGED	mobile/components/stores/product/Addons.tsx	9998	9970
CHANGED	mobile/components/stores/product/ProductCompactHeader.tsx	1200	1192
CHANGED	mobile/components/stores/product/ProductDetailScreen.tsx	17825	17818
CHANGED	mobile/components/stores/product/ProductHero.tsx	1871	1863
CHANGED	mobile/components/stores/product/ProductNotes.tsx	1341	1338
CHANGED	mobile/components/ui/CircleButton.tsx	1338	1338
CHANGED	mobile/components/ui/FavoriteButton.tsx	2645	2383
CHANGED	mobile/components/ui/FormInput.tsx	3817	2859
CHANGED	mobile/components/ui/HeaderBar.tsx	2950	2946
CHANGED	mobile/lib/api.ts	14306	12705
CHANGED	mobile/lib/queryKeys.ts	1317	1188
CHANGED	mobile/lib/rtl.ts	1133	726
CHANGED	mobile/locales/ar.json	28780	29126
CHANGED	mobile/locales/en.json	22325	22928
CHANGED	mobile/package.json	1183	1399
CHANGED	mobile/tsconfig.json	273	241
CHANGED	web/src/components/banners/TrialExpiredBanner.tsx	3854	3512
CHANGED	web/src/pages/op/OpAppSettings.tsx	2750	1090
CHANGED	web/src/pages/op/OpShell.tsx	6443	6192
CHANGED	web/src/pages/op/settings/OpSettingsAppleWallet.tsx	24290	21125
IDENTICAL	.claude/launch.json	759	759
IDENTICAL	api/app/Http/Controllers/Api/App/CustomerAuthController.php	7847	7847
IDENTICAL	api/app/Http/Controllers/Api/App/CustomerProfileController.php	5384	5384
IDENTICAL	api/app/Http/Controllers/Api/Op/BannerController.php	3633	3633
IDENTICAL	api/app/Http/Controllers/Api/Op/CustomersController.php	8354	8354
IDENTICAL	api/app/Http/Middleware/CheckPlanQuota.php	2242	2242
IDENTICAL	api/app/Models/Banner.php	321	321
IDENTICAL	api/app/Models/Customer.php	4527	4527
IDENTICAL	api/app/Models/CustomerFavorite.php	521	521
IDENTICAL	api/app/Models/CustomerProfile.php	3125	3125
IDENTICAL	api/app/Services/Auth/SendResult.php	1658	1658
